judge,pH,R,G,B
safe,6.3,77,71,105
danger,5.1,85,95,87
error,4.5,95,102,71
danger,5.4,92,97,101
safe,6.1,75,69,97
safe,6.3,75,64,98
warning,5.8,74,74,86
error,4.6,84,89,69
warning,5.9,81,81,93
error,4.1,114,120,82
danger,5.3,89,99,90
safe,6.3,74,64,99
warning,5.9,85,84,100
danger,5.0,94,106,96
danger,5.3,85,92,84
error,4.0,114,120,76
danger,5.1,93,103,92
danger,4.8,92,103,87
danger,5.6,78,81,86
danger,5.5,85,93,96
danger,5.6,82,85,90
warning,6.0,77,78,98
warning,5.8,77,75,96
safe,6.1,87,84,105
danger,5.1,84,86,75
safe,6.1,79,77,101
error,4.4,102,114,94
warning,5.8,84,81,100
safe,6.3,79,72,105
danger,5.6,79,82,87
safe,6.3,77,70,104
danger,4.8,98,112,99
safe,6.4,79,72,113
danger,5.3,89,94,88
danger,5.6,79,84,90
error,4.7,89,92,71
error,4.4,91,104,78
warning,5.8,73,64,85
safe,6.2,67,63,96
safe,6.1,74,70,95
danger,5.3,90,103,96
error,4.0,112,117,77
error,4.4,97,110,84
error,4.6,82,94,72
danger,5.5,78,84,84
danger,5.1,89,100,86
error,4.7,95,107,87
danger,4.9,90,98,85
warning,5.8,74,82,93
danger,4.9,92,98,84
warning,5.7,84,88,100
error,4.5,101,112,96
danger,4.8,89,98,81
error,4.3,103,113,79
error,4.2,106,113,80
warning,5.7,79,77,88
danger,4.9,93,106,89
error,4.6,92,104,80
error,4.0,115,117,80
safe,6.1,69,53,82
danger,4.9,89,97,82
warning,6.0,79,75,100
danger,5.1,83,88,82
error,4.7,87,91,76
error,4.2,102,113,83
danger,4.8,87,100,82
warning,5.8,84,88,99
danger,5.1,88,99,91
warning,5.7,81,80,88
danger,5.6,81,88,98
warning,5.8,81,82,100
danger,5.1,86,97,89
danger,4.9,99,113,100
error,4.2,106,113,82
safe,6.1,73,64,93
warning,5.7,71,71,81
danger,4.8,95,109,92
safe,6.4,73,69,106
error,4.4,90,100,75
danger,4.8,94,105,91
danger,5.1,90,98,85
safe,6.4,78,74,109
error,4.5,101,111,87
warning,6.0,72,73,91
danger,5.2,90,101,97
safe,6.4,74,64,99
danger,4.8,93,102,85
error,4.7,97,109,89
danger,5.2,85,95,87
error,4.4,97,108,76
error,4.4,101,114,86
error,4.3,103,113,88
warning,5.7,82,82,92
warning,5.7,80,79,87
warning,5.9,81,76,96
warning,5.9,83,80,97
safe,6.3,75,64,98
error,4.1,106,105,61
error,4.1,114,120,82
error,4.2,104,113,84
danger,5.6,79,77,88
error,4.1,111,117,81
error,4.5,104,117,91
safe,6.4,73,67,101
safe,6.3,75,60,99
warning,6.0,73,70,91
danger,5.4,84,93,88
warning,6.0,78,79,97
danger,5.6,79,83,94
danger,5.5,88,98,100
error,4.3,102,106,73
danger,5.3,86,99,92
error,4.6,97,102,79
danger,5.2,90,100,92
danger,4.8,96,108,94
error,4.3,109,118,89
danger,5.2,86,96,88
danger,5.6,81,83,95
error,4.6,95,109,86
error,4.3,100,109,78
warning,5.7,78,81,90
error,4.0,110,112,75
error,4.0,112,116,83
error,4.6,91,100,81
danger,5.6,72,83,87
safe,6.2,75,69,97
danger,5.0,93,106,97
error,4.1,100,102,65
safe,6.4,67,60,94
safe,6.2,73,68,100
danger,5.5,88,98,99
danger,5.3,97,108,102
error,4.5,99,108,87
error,4.7,94,102,81
danger,5.3,91,104,94
error,4.6,91,99,78
warning,6.0,88,87,105
warning,5.9,75,71,86
error,4.2,106,115,84
danger,5.0,92,99,92
error,4.1,108,104,57
danger,5.4,82,83,87
error,4.7,88,95,77
error,4.2,101,110,83
error,4.0,109,116,83
safe,6.1,76,66,93
safe,6.4,71,63,100
error,4.0,112,121,90
danger,5.5,85,90,94
danger,5.4,82,83,87
error,4.0,107,113,77
warning,5.7,80,82,94
danger,5.6,77,77,87
warning,5.8,82,81,95
error,4.5,98,112,79
danger,5.5,83,91,93
danger,5.1,89,100,92
warning,5.9,82,81,97
warning,6.0,86,86,110
safe,6.3,66,49,85
danger,5.5,80,81,85
safe,6.1,71,65,91
error,4.5,103,113,89
danger,5.0,83,93,84
error,4.2,104,111,80
error,4.4,93,103,79
danger,5.0,93,103,95
warning,5.7,80,80,92
danger,4.9,86,91,71
danger,4.8,96,104,89
safe,6.2,82,79,110
error,4.4,100,104,79
danger,5.2,84,93,88
safe,6.3,69,58,92
error,4.6,96,108,88
danger,5.0,90,100,91
danger,5.3,88,95,88
error,4.5,95,100,70
warning,5.9,82,79,96
error,4.6,99,111,91
warning,5.7,80,79,87
danger,5.6,86,93,99
error,4.4,100,112,90
error,4.3,105,109,72
error,4.5,97,109,85
error,4.3,107,115,91
danger,5.5,89,94,97
danger,5.4,82,82,84
danger,5.4,89,97,100
danger,4.8,97,104,88
error,4.2,104,112,89
warning,5.8,72,71,89
error,4.0,111,118,84
danger,5.1,85,91,79
error,4.4,106,118,94
warning,5.9,81,78,95
danger,5.1,100,108,97
error,4.6,102,111,94
danger,4.8,90,105,86
danger,5.0,91,103,93
error,4.5,94,102,78
danger,5.1,90,100,89
warning,5.9,81,83,104
warning,6.0,81,72,93
danger,5.4,76,85,80
danger,4.9,93,106,89
error,4.1,109,114,73
warning,6.0,78,78,102
error,4.2,104,109,77
danger,5.1,97,108,94
danger,4.9,93,101,86
error,4.0,112,118,84
danger,5.1,87,96,91
warning,5.7,85,85,97
danger,5.6,82,89,97
error,4.7,85,94,73
warning,5.7,81,78,85
danger,5.0,93,105,95
danger,5.1,90,92,81
danger,5.0,87,98,84
danger,5.3,90,99,94
danger,5.5,90,97,103
danger,5.3,81,87,83
error,4.6,100,113,95
error,4.2,99,105,77
danger,5.1,85,90,83
safe,6.1,82,86,111
danger,5.4,87,96,95
warning,5.9,78,79,97
danger,5.2,79,89,80
error,4.1,110,121,91
error,4.5,102,110,86
danger,4.8,94,105,89
warning,6.0,75,76,96
danger,5.5,87,92,95
warning,5.9,83,80,97
error,4.3,95,105,70
safe,6.1,70,57,83
danger,5.3,80,85,88
error,4.2,104,113,84
danger,5.3,93,100,93
danger,5.4,90,95,99
error,4.7,94,102,81
danger,5.0,89,100,86
danger,5.6,82,85,94
error,4.5,101,113,89
safe,6.3,68,57,91
danger,4.8,88,100,86
error,4.7,96,107,90
danger,4.8,89,101,87
safe,6.2,70,66,99
error,4.4,100,110,86
danger,5.3,86,93,86
danger,5.2,87,100,91
danger,5.2,86,95,92
danger,5.1,82,92,81
danger,5.2,89,98,95
danger,5.5,73,66,73
error,4.1,102,108,70
danger,5.3,84,90,86
danger,5.1,96,106,98
error,4.1,112,113,71
danger,5.6,87,90,97
danger,5.4,74,82,84
error,4.0,115,116,74
error,4.3,104,115,85
danger,5.2,84,95,89
warning,5.8,73,70,91
error,4.1,104,108,73
error,4.2,105,113,90
safe,6.2,71,64,95
error,4.0,106,115,84
error,4.2,102,109,75
warning,5.8,78,78,90
danger,5.2,92,102,101
danger,5.5,79,83,84
warning,6.0,80,74,100
safe,6.4,84,83,114
error,4.6,88,91,70
error,4.3,102,106,69
error,4.4,95,105,80
danger,5.5,79,79,81
